scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
"	GCAM-USA_updatedRef",AL,biomass liquids,N2O,1.72E-04,1.64E-04,1.64E-04,1.47E-04,1.26E-04,9.63E-04,0.0023393,0.0034866
"	GCAM-USA_updatedRef",AL,comm cooking,CH4,0.001585,0.0015725,0.0015175,0.001435,0.0013275,0.00127,0.0012175,0.00125
"	GCAM-USA_updatedRef",AL,comm cooking,N2O,1.70E-04,1.69E-04,1.63E-04,1.54E-04,1.43E-04,1.36E-04,1.31E-04,1.34E-04
"	GCAM-USA_updatedRef",AL,comm cooling,HFC125,0.27877535,0.30441124,0.31101399,0.31886785,0.32233803,0.32219425,0.32797212,0.338886195
"	GCAM-USA_updatedRef",AL,comm cooling,HFC134a,0.511460521,0.558492649,0.570606751,0.585016432,0.591383221,0.591119958,0.601720176,0.621744237
"	GCAM-USA_updatedRef",AL,comm cooling,HFC143a,0.385314,0.421074,0.430014,0.440742,0.445659,0.445659,0.45147,0.46935
"	GCAM-USA_updatedRef",AL,comm cooling,HFC23,0.00120916,0.00132016,0.00134828,0.00138232,0.00139712,0.00139712,0.00142228,0.00146964
"	GCAM-USA_updatedRef",AL,comm cooling,HFC32,0.00298775,0.00326325,0.0033345,0.00342,0.00345325,0.00345325,0.003515,0.00363375
"	GCAM-USA_updatedRef",AL,comm cooling,CH4,1.65E-05,1.64E-05,1.59E-05,1.50E-05,1.41E-05,1.33E-05,1.23E-05,1.26E-05
"	GCAM-USA_updatedRef",AL,comm cooling,N2O,1.79E-06,1.78E-06,1.71E-06,1.62E-06,1.52E-06,1.44E-06,1.34E-06,1.36E-06
"	GCAM-USA_updatedRef",AL,comm heating,CH4,1.21E-05,1.19E-05,1.23E-05,1.32E-05,1.44E-05,1.52E-05,1.56E-05,1.57E-05
"	GCAM-USA_updatedRef",AL,comm heating,N2O,3.78E-04,3.70E-04,3.81E-04,4.11E-04,4.47E-04,4.74E-04,4.83E-04,4.89E-04
"	GCAM-USA_updatedRef",AL,comm heating,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,comm heating,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,comm heating,CH4,0.003925,0.0034,0.003075,0.00275,0.0023825,0.0020925,0.00154,0.00159
"	GCAM-USA_updatedRef",AL,comm heating,N2O,4.20E-04,3.67E-04,3.31E-04,2.94E-04,2.56E-04,2.25E-04,1.65E-04,1.71E-04
"	GCAM-USA_updatedRef",AL,comm heating,CH4,2.02E-04,2.20E-04,2.29E-04,2.17E-04,1.81E-04,1.34E-04,6.40E-05,3.90E-05
"	GCAM-USA_updatedRef",AL,comm heating,N2O,6.05E-04,6.59E-04,6.85E-04,6.50E-04,5.42E-04,4.02E-04,1.92E-04,1.17E-04
"	GCAM-USA_updatedRef",AL,comm hot water,CH4,0.004825,0.0043,0.0038,0.0032,0.0026,0.00222,0.0017925,0.0019475
"	GCAM-USA_updatedRef",AL,comm hot water,N2O,5.19E-04,4.62E-04,4.08E-04,3.43E-04,2.79E-04,2.39E-04,1.93E-04,2.09E-04
"	GCAM-USA_updatedRef",AL,comm hot water,CH4,5.95E-05,6.15E-05,6.30E-05,5.85E-05,4.65E-05,3.18E-05,1.47E-05,8.40E-06
"	GCAM-USA_updatedRef",AL,comm hot water,N2O,1.79E-04,1.85E-04,1.89E-04,1.75E-04,1.39E-04,9.54E-05,4.41E-05,2.52E-05
"	GCAM-USA_updatedRef",AL,comm other,CH4,0.002385,0.0020025,0.0020175,0.00202,0.0019425,0.0019275,0.0019625,0.0019975
"	GCAM-USA_updatedRef",AL,comm other,N2O,2.56E-04,2.15E-04,2.17E-04,2.17E-04,2.09E-04,2.07E-04,2.11E-04,2.15E-04
"	GCAM-USA_updatedRef",AL,comm other,CH4,1.39E-04,1.41E-04,1.68E-04,2.12E-04,2.80E-04,3.28E-04,3.53E-04,3.73E-04
"	GCAM-USA_updatedRef",AL,comm other,N2O,4.17E-04,4.23E-04,5.04E-04,6.38E-04,8.40E-04,9.83E-04,0.0010579,0.00112048
"	GCAM-USA_updatedRef",AL,gas to liquids,CH4,0,0,0,0,0,7.70E-04,0.0027,0.004825
"	GCAM-USA_updatedRef",AL,gas to liquids,N2O,0,0,0,0,0,1.14E-04,3.99E-04,7.18E-04
"	GCAM-USA_updatedRef",AL,intermediate generation,CH4,0,2.21E-06,2.90E-06,4.40E-06,6.45E-06,8.73E-06,1.10E-05,1.37E-05
"	GCAM-USA_updatedRef",AL,intermediate generation,N2O,0,5.27E-06,6.88E-06,1.05E-05,1.54E-05,2.08E-05,2.61E-05,3.28E-05
"	GCAM-USA_updatedRef",AL,intermediate generation,CH4,5.50E-04,9.82E-05,1.68E-04,1.30E-04,1.03E-04,7.23E-05,4.85E-05,3.23E-05
"	GCAM-USA_updatedRef",AL,intermediate generation,N2O,0.0079268,0.00141252,0.00241082,0.00186548,0.00148404,0.00103704,6.97E-04,4.62E-04
"	GCAM-USA_updatedRef",AL,intermediate generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,intermediate generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,intermediate generation,CH4,0.01435,0.0131,0.012325,0.01135,0.010125,0.0089,0.007725,0.00685
"	GCAM-USA_updatedRef",AL,intermediate generation,N2O,0.04917,0.044104,0.040826,0.03725,0.032482,0.027714,0.0231844,0.0196084
"	GCAM-USA_updatedRef",AL,intermediate generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,intermediate generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,other industrial energy use,CH4,0.004525,0.0045,0.004975,0.00545,0.00585,0.0062,0.006525,0.0068
"	GCAM-USA_updatedRef",AL,other industrial energy use,N2O,0.288166,0.286378,0.31588,0.34568,0.3725,0.39634,0.41422,0.4321
"	GCAM-USA_updatedRef",AL,other industrial energy use,CH4,1.19E-04,1.18E-04,1.27E-04,1.36E-04,1.44E-04,1.51E-04,1.57E-04,1.62E-04
"	GCAM-USA_updatedRef",AL,other industrial energy use,N2O,0.0098936,0.009834,0.0106088,0.0113538,0.0120094,0.0126054,0.0131418,0.013559
"	GCAM-USA_updatedRef",AL,other industrial energy use,CH4,0.0010575,0.0010525,0.0011175,0.0011825,0.001235,0.001285,0.00133,0.0013575
"	GCAM-USA_updatedRef",AL,other industrial energy use,N2O,0.00100426,9.98E-04,0.00106386,0.00112644,0.00117412,0.0012218,0.00126352,0.00129034
"	GCAM-USA_updatedRef",AL,other industrial energy use,CH4,5.10E-04,4.98E-04,5.58E-04,5.83E-04,5.98E-04,6.23E-04,6.50E-04,6.83E-04
"	GCAM-USA_updatedRef",AL,other industrial energy use,N2O,0.004023,0.0039336,0.0044104,0.0045892,0.0047084,0.004917,0.0051256,0.0053938
"	GCAM-USA_updatedRef",AL,peak generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,peak generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,peak generation,CH4,1.62E-04,1.38E-04,1.26E-04,1.10E-04,9.10E-05,7.10E-05,5.22E-05,3.65E-05
"	GCAM-USA_updatedRef",AL,peak generation,N2O,5.54E-04,4.71E-04,4.29E-04,3.75E-04,3.10E-04,2.43E-04,1.78E-04,1.24E-04
