scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
GCAM-USA_updatedRef,AR,trn_pass_road,CO2,0.3012256261514709,0.4049808675429807,0.47947047599741405,0.407357212448813,0.3410401790253612,0.2640675456241746,0.20605965331877088,0.1714054383537903
GCAM-USA_updatedRef,AR,trn_pass_road_LDV,CO2,0.03609898877702876,0.028289576351200964,0.01827850779674194,0.01390906784152391,0.015178277435839905,0.016335451902003043,0.017322735342226087,0.018517598329564695
GCAM-USA_updatedRef,AR,trn_pass_road_LDV_4W,CO2,10.256771175667355,8.423130158349682,7.92884236947154,6.6319322849692,5.652000356294086,4.877811968688596,4.77542490636761,4.756618013602179
GCAM-USA_updatedRef,AR,trn_shipping_intl,CO2,0,0,0,0,0,0,0,0
GCAM-USA_updatedRef,AZ,base load generation,CO2,29.287595256688892,21.29486948005956,23.18339344251172,25.334236074530825,27.95851569311269,31.330204345994506,35.608428402508544,42.37587219453023
GCAM-USA_updatedRef,AZ,biomass liquids,CO2,0.014072917151289553,0.013274408078365793,0.013261875990298834,0.011953425658711351,0.010264768093004296,-0.01047190107506917,-0.03426161514674975,-0.07160030048231279
GCAM-USA_updatedRef,AZ,cement,CO2,1.183391,1.2292063666666666,1.4176627666666668,1.6333793666666667,1.8288009666666667,2.00822864,2.1771634866666667,2.343139953
GCAM-USA_updatedRef,AZ,comm cooking,CO2,0.25507753333333333,0.2700515766666667,0.27461114999999997,0.2808351333333334,0.28212437,0.28685323333333335,0.29027214333333334,0.3014446966666667
GCAM-USA_updatedRef,AZ,comm cooling,CO2,0.009345966666666667,0.009739106666666667,0.009702029333333334,0.009563997666666666,0.00931414,0.009069393666666667,0.008667424333333333,0.0088480183
GCAM-USA_updatedRef,AZ,comm heating,CO2,0.5537614799747763,0.577075663836078,0.5699540368928487,0.5584440144059774,0.5326135323476257,0.5163454370066813,0.4742217973551044,0.483024053258648
GCAM-USA_updatedRef,AZ,comm hot water,CO2,0.595409731760283,0.624058894853702,0.634932413252632,0.633387145926788,0.61031460111226,0.5836884189152279,0.5529363717431767,0.574807589328797
GCAM-USA_updatedRef,AZ,comm other,CO2,0.8225663778112734,0.830948030906092,0.9185635096271517,1.030372007398327,1.1935896369376504,1.3051349955719864,1.3569025108751493,1.4054987845706866
GCAM-USA_updatedRef,AZ,H2 central production,CO2,0,0,0.015505015240000001,0.08042750377566667,0.15609339636733335,0.22771238194833332,0.304712661066,0.4102688619736667
GCAM-USA_updatedRef,AZ,H2 wholesale dispensing,CO2,0,0,0.011117296666666667,0.04279293333333334,0.09615672000000001,0.15410395,0.21272621333333333,0.27495951999999996
GCAM-USA_updatedRef,AZ,intermediate generation,CO2,21.347882962596852,16.07729081304746,15.541247602230497,14.650976420747186,13.634493540158076,12.81567660739399,12.011417966149727,11.495108571432274
GCAM-USA_updatedRef,AZ,oil refining,CO2,0,0,0,0,0,0,0,0
GCAM-USA_updatedRef,AZ,other industrial energy use,CO2,2.0936481384095056,2.1544992746252505,2.272900046716904,2.3325586792699915,2.3820893449270795,2.4153885472693277,2.425826140921872,2.408809771073134
GCAM-USA_updatedRef,AZ,other industrial feedstocks,CO2,-0.1492409919102938,-0.15500673757816683,-0.17124286578547646,-0.18241461001258294,-0.18048908653539905,-0.32033658789898845,-0.559748706196823,-0.7764382172819065
GCAM-USA_updatedRef,AZ,peak generation,CO2,0.30107623333333333,0.257159496,0.23393530893333334,0.20315480753333334,0.16689369913333332,0.130852018,0.09713182050000001,0.06850325019999999
GCAM-USA_updatedRef,AZ,process heat cement,CO2,0.9428457072866333,0.9877857455823683,1.126923657520243,1.294221949352783,1.4291556752952526,1.536553432543162,1.6385155005006589,1.7276205023795301
GCAM-USA_updatedRef,AZ,resid clothes dryers,CO2,0.013594606666666667,0.014206060000000001,0.014371613666666666,0.014742522666666666,0.014682792666666666,0.015461446000000002,0.016245797333333336,0.017008225666666668
GCAM-USA_updatedRef,AZ,resid cooking,CO2,0.07093767043979293,0.06845058973763303,0.06474342402438717,0.05863029558811664,0.05269177953060524,0.04549057882946756,0.04604840259298363,0.04697653000750527
GCAM-USA_updatedRef,AZ,resid heating,CO2,0.5392793148407133,0.670221172887024,0.6316015187021541,0.5555115386163126,0.4512701222171816,0.38305902559726634,0.3244879676384489,0.2651399899488314
GCAM-USA_updatedRef,AZ,resid hot water,CO2,0.9150039898748393,0.8630312522168517,0.8338354318670933,0.8034029176534864,0.7188723192490877,0.743681315551097,0.7665599929910633,0.78882532877544
GCAM-USA_updatedRef,AZ,resid other,CO2,0.08982077052973969,0.0693928697069014,0.07354299843559094,0.07494523281923444,0.08000276003043023,0.08552518403378069,0.08853323881488938,0.09238704038289769
GCAM-USA_updatedRef,AZ,subpeak generation,CO2,0.5790227666666666,0.5059593733333333,0.4711057633333333,0.42632369999999997,0.37118623666666667,0.3152144233333333,0.31302238,0.27297236999999996
GCAM-USA_updatedRef,AZ,trn_aviation_intl,CO2,0.3152752377632004,0.2965987905766182,0.3140109895709237,0.3064280505823383,0.30607297416720164,0.3191696244051582,0.32726126795890953,0.33748700428601697
GCAM-USA_updatedRef,AZ,trn_freight,CO2,0.5881488025202863,0.5855072954487314,0.5651422135902547,0.49137862877735133,0.387509753777894,0.3442004018293658,0.3407976928356484,0.35345206877770496
