scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050,Units
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,H2 central production,CO2,0,0,0.008430886,0.018382722,0.01718217,0.020136144,0.022127882,0.024529131,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,H2 wholesale dispensing,CO2,0,0,0.0266126,0.0680651,0.1003244,0.1304277,0.1468672,0.1241198,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,airCO2,CO2,0,0,-9.21E-05,-5.03E-04,-0.312746,-2.61164,-7.52232,-7.51417,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,base load generation,CO2,7.987604418,5.967477831,4.842115917,4.752597022,2.157508654,1.526620863,1.255177805,0.787506967,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,biomass liquids,CO2,0.020772742,0.019539928,0.017223879,0.013951908,0.019680763,0.016922929,0.017765877,0.020889918,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,cement,CO2,0.322743,0.3313047,0.2911901,0.3060325,0.20998704,0.12343967,0.08312132,0.060957015,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,coal to liquids,CO2,0,0,0,0,1.26E-05,2.06E-05,6.85E-05,1.51E-04,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,comm cooking,CO2,0.0695666,0.07318209,0.06867291,0.06682378,0.05712599,0.05016872,0.04218965,0.036362651,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,comm cooling,CO2,0.0025489,0.002667936,0.002653671,0.002664674,0.00255868,0.002440261,0.0022269,0.002098385,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,comm heating,CO2,0.173415,0.16621107,0.15257401,0.1391705,0.112125645,0.085688852,0.042295844,0.031110962,MTC
