"lat","lon","SOx","NOx","NH3","VOC","PM2_5","PM10","CO"
21.07488,-70.13116,66510.0288072911,56500.8068451798,154.351167625616,2956.33807493669,8019.16896020971,697.343495189584,6808.09940416562
21.08279,-69.7801499999998,243501.184471923,213493.018657922,571.033925235766,11704.1578470598,29667.5276411214,2579.89622978155,26185.9729388559
21.08463,-70.9393899999998,363458.437916333,382529.596949758,864.56253040978,19901.0714070205,44917.5285276114,3906.01877510652,44967.0390561529
21.08945,-69.42911,329212.065898752,264488.532935751,770.256886281958,15920.8187311097,40017.9680444394,3479.94957697606,33675.3667332153
21.09545,-70.5884400000002,50220.4747560124,42582.0427949025,116.557692454136,2229.04175276386,6055.64464782709,526.598512776654,5156.23194010781
21.10502,-70.23743,17564.6463343444,14082.6348530066,40.686568788228,776.178577061752,2113.83217530924,183.819459062221,1729.05457445211
21.11331,-69.8862900000002,356175.522858866,334087.685919655,840.46969713102,18109.8083744165,43665.8081119436,3797.17468565639,40646.4209281422
21.11388,-71.0459600000001,509346.506728408,561937.2501028,1216.59856674505,28705.1949143533,63207.2277557304,5496.49158799202,64762.5406128473
21.12035,-69.5351,152989.837322397,129051.155170165,349.378574596283,7226.95695114901,18151.633306016,1578.45387162786,16063.3013036568
21.12508,-70.69489,107044.171293324,104259.192288975,252.604672647125,5489.95072845507,13123.8370163189,1141.24818979852,12500.3574444988
21.13503,-70.34375,76020.3891756836,79927.0744213262,181.987499837055,4400.37891907279,9454.98844470506,822.206175996751,9848.0927631684
21.14302,-71.1525600000002,0,0,0,0,0,0,0
21.14372,-69.9924899999999,395127.072752401,378193.52009697,931.531496161403,20088.0445310591,48396.8378786045,4208.59027514329,45572.2408112455
21.15114,-69.6412,153356.618443844,144146.454146629,359.079472985506,7788.66430025136,18655.6344020625,1622.28937216885,17629.4122914252
21.15461,-70.8013899999999,336384.514616146,346238.136123561,798.003739449112,18010.2812838022,41459.5294678138,3605.31834054954,40819.7767236494
21.1572799999999,-69.2898599999999,265129.603138244,235853.888846397,608.801273942488,13654.6265631791,31629.694675165,2750.51828761414,30246.5208521369
21.1649400000001,-70.4501300000001,58462.4341946489,63440.0336751653,140.19536558331,3401.4033402692,7283.71762021243,633.392900003004,7630.79725790301
21.17204,-71.25925,90777.3494336825,96578.3403667847,217.001958181756,5145.87819062648,11274.1313046168,980.39759045371,11615.5639938823
21.174,-70.09879,367626.5318377,346647.445783064,864.871450233995,18398.5312918283,44933.5783735657,3907.42849238567,41894.0234624305
21.18181,-69.7473799999999,200825.20774558,181835.192624847,470.775765780503,9792.60937277235,24458.7095791537,2126.93123199361,22251.4175237131
21.18402,-70.9079600000002,419803.036962834,428374.090888296,995.599477589317,22454.1940628273,51725.4293263948,4498.04993664955,50836.5795654954
21.18833,-69.3958700000001,334355.33664424,299594.415148325,783.709480249772,17741.0792021556,40716.8849619071,3540.74174430791,38566.4796717879
21.19473,-70.5565800000002,86839.2562213528,91703.9608656812,207.131206453668,4853.52638361661,10761.3057971149,935.80299572358,10907.8560855734
21.20094,-71.366,338338.371314523,252809.778528764,774.486784864418,13058.1672949815,40237.7282014352,3499.06050851477,31468.3572946102
21.20419,-70.20514,259859.67754298,229856.278071315,606.34309189869,12118.6534564529,31501.9818263253,2739.41902751446,27845.5121813375
21.21238,-69.8536100000001,258801.08125316,234611.748690534,606.009017415978,12501.6807436534,31484.6250708941,2737.90554322765,28463.6807404767
21.21332,-71.0146199999999,123974.248861546,104573.378626899,289.055207497529,5768.77041242204,15017.5899835579,1305.92801511606,13019.5047506109
21.21929,-69.5020100000001,417217.065494693,354918.65357899,988.565987138558,20752.7600254608,51360.0107880001,4466.26397623433,44744.1154344003
21.22442,-70.6631500000001,194289.496121171,210193.201546944,463.129462144738,10784.3955220947,24061.4531288407,2092.37568141137,24414.1669904808
21.22974,-71.4728400000001,33511.3574172747,31659.9316074779,79.177910347524,1732.04576818721,4113.61352740699,357.718710264829,3944.14358106341
